index,y_true,y_pred,y_proba_yes
14568,0,1,0.6658912118337588
3840,1,1,0.8633492349175673
79576,0,1,0.7012129552396258
79917,1,1,0.790798004267969
50240,0,0,0.05581725194324238
23612,0,1,0.6705398097287071
71383,0,0,0.1331525832232829
85327,1,1,0.9236766867735371
83663,0,0,0.046930175149398325
18611,0,0,0.11454186283561987
95320,0,0,0.39176120624093985
12311,0,0,0.29627866804163255
39752,1,1,0.6761745581725097
24960,0,0,0.02529152121876283
94757,1,1,0.8695966204747798
96198,0,1,0.6761813950395364
12731,1,0,0.15472745610323638
14704,0,0,0.3774272711705687
52136,0,1,0.5381961157031042
65733,0,0,0.40557809018863966
77973,1,0,0.49557317818822955
50442,0,0,0.07831779870972518
41034,0,0,0.3568131639517103
10120,0,0,0.04814122438873696
38364,0,0,0.05445527735998885
76482,1,1,0.8155685827656858
94800,1,1,0.8278892113478861
22472,1,0,0.3144680891785763
20174,0,0,0.0852021014857858
51863,0,0,0.3353636729794252
7384,0,0,0.4770383475793246
46417,1,1,0.5857918945281281
43323,0,0,0.029223442614350427
36054,1,1,0.9428996162936276
37303,0,1,0.7775360914942189
9115,1,1,0.5448412673494628
40226,0,0,0.4309173893549425
68274,1,1,0.8768108667738409
70206,0,1,0.9730527561802549
19231,0,0,0.1322398694483578
96266,1,1,0.94077833725249
68892,1,1,0.9527904614098914
49712,0,0,0.06478015620370556
44547,0,0,0.05667505733221298
29783,1,1,0.6284268271927493
35434,0,0,0.38526968604975015
1681,0,0,0.4369700619767597
2496,1,1,0.7027499546817035
60775,1,1,0.933762791284102
42104,0,0,0.04402155326630692
30498,1,1,0.9057061506841595
52197,0,0,0.43563691111847885
61115,1,1,0.6052612568768614
20695,0,0,0.48299278521261674
45727,0,0,0.2585614133888268
36347,0,0,0.10297042279323788
89191,0,0,0.4391938692611016
29536,1,1,0.5402975986689811
8113,1,1,0.6037769043586199
78016,0,0,0.06287197745805695
59086,1,1,0.7090291977092631
11773,0,1,0.5392532634781699
57950,0,0,0.433437636394063
