model,feature_set,fold,accuracy,precision,recall,f1,roc_auc,fit_time,score_time
Logistic Regression,full,1,0.7833125,0.7281677301731997,0.6690117252931324,0.6973374072457442,0.8555349696304722,0.23450374603271484,0.0610048770904541
Logistic Regression,full,2,0.78425,0.7305860805860805,0.6681742043551089,0.6979877515310586,0.8568862758458292,0.22709226608276367,0.059986114501953125
Logistic Regression,full,3,0.7903125,0.7388127853881279,0.6775544388609716,0.7068588903451288,0.8627540160089247,0.22595643997192383,0.06200885772705078
Logistic Regression,full,4,0.7840625,0.7331726311885778,0.6623115577889447,0.6959429728064772,0.8563574936831049,0.22253680229187012,0.061031341552734375
Logistic Regression,full,5,0.7925,0.7443317972350231,0.6762686317199799,0.7086697086697087,0.8626387929868562,0.23288583755493164,0.06197500228881836
Logistic Regression,reduced,1,0.78325,0.7280349981771783,0.6690117252931324,0.6972765363128491,0.8555204236536621,0.2169950008392334,0.05697321891784668
Logistic Regression,reduced,2,0.78425,0.7304172767203514,0.6685092127303183,0.6980934056323247,0.8568812156495338,0.21147370338439941,0.05941462516784668
Logistic Regression,reduced,3,0.790875,0.739590942293645,0.678391959798995,0.707670802026909,0.8627756429204847,0.1983799934387207,0.059235334396362305
Logistic Regression,reduced,4,0.7840625,0.7331726311885778,0.6623115577889447,0.6959429728064772,0.8563539532157296,0.20196962356567383,0.06056833267211914
Logistic Regression,reduced,5,0.7925,0.7441517774912507,0.6766035839892816,0.7087719298245614,0.862632781279959,0.20046544075012207,0.06109046936035156
