param_model__var_smoothing,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,mean_train_f1,std_train_f1,mean_fit_time,std_fit_time,mean_score_time,rank_test_f1
1e-12,0.762625,0.001656898457962934,0.6503596533994116,0.0017519072741807064,0.7868746512667172,0.004525136372975509,0.7121285736238068,0.0024332799647685146,0.845753118340102,0.0020937613558065127,0.712259002849067,0.0007038329042498775,0.19903793334960937,0.006291550123141905,0.07750568389892579,1
3e-12,0.762625,0.001656898457962934,0.6503596533994116,0.0017519072741807064,0.7868746512667172,0.004525136372975509,0.7121285736238068,0.0024332799647685146,0.845753118340102,0.0020937613558065127,0.712259002849067,0.0007038329042498775,0.18739013671875,0.0009704700313207774,0.07317299842834472,1
1e-11,0.762625,0.001656898457962934,0.6503596533994116,0.0017519072741807064,0.7868746512667172,0.004525136372975509,0.7121285736238068,0.0024332799647685146,0.845753118340102,0.0020937613558065127,0.712259002849067,0.0007038329042498775,0.1874483585357666,0.002051779613183728,0.07437057495117187,1
3e-11,0.762625,0.001656898457962934,0.6503596533994116,0.0017519072741807064,0.7868746512667172,0.004525136372975509,0.7121285736238068,0.0024332799647685146,0.845753118340102,0.0020937613558065127,0.712259002849067,0.0007038329042498775,0.18747978210449218,0.0013938346655520512,0.0745633602142334,1
1e-10,0.762625,0.001656898457962934,0.6503596533994116,0.0017519072741807064,0.7868746512667172,0.004525136372975509,0.7121285736238068,0.0024332799647685146,0.845753118340102,0.0020937613558065127,0.712259002849067,0.0007038329042498775,0.1877453327178955,0.0023133133722945797,0.07240400314331055,1
3e-10,0.762625,0.001656898457962934,0.6503596533994116,0.0017519072741807064,0.7868746512667172,0.004525136372975509,0.7121285736238068,0.0024332799647685146,0.845753118340102,0.0020937613558065127,0.712259002849067,0.0007038329042498775,0.18718428611755372,0.003945936533985513,0.07504715919494628,1
1e-09,0.762625,0.001656898457962934,0.6503596533994116,0.0017519072741807064,0.7868746512667172,0.004525136372975509,0.7121285736238068,0.0024332799647685146,0.845753118340102,0.0020937613558065127,0.712259002849067,0.0007038329042498775,0.1877070903778076,0.0028084349016463768,0.0727302074432373,1
3e-09,0.762625,0.001656898457962934,0.6503596533994116,0.0017519072741807064,0.7868746512667172,0.004525136372975509,0.7121285736238068,0.0024332799647685146,0.8457531216801655,0.002093758842905156,0.712259002849067,0.0007038329042498775,0.18603830337524413,0.001730708264444125,0.07409172058105469,1
1e-08,0.762625,0.001656898457962934,0.6503596533994116,0.0017519072741807064,0.7868746512667172,0.004525136372975509,0.7121285736238068,0.0024332799647685146,0.8457531250202293,0.0020937549872799464,0.712259002849067,0.0007038329042498775,0.18658957481384278,0.0029988988189441007,0.0748774528503418,1
3e-08,0.762625,0.001656898457962934,0.6503596533994116,0.0017519072741807064,0.7868746512667172,0.004525136372975509,0.7121285736238068,0.0024332799647685146,0.8457531316999034,0.0020937748684393995,0.712259002849067,0.0007038329042498775,0.19002847671508788,0.0038784035301329574,0.07551155090332032,1
1e-07,0.762625,0.001656898457962934,0.6503596533994116,0.0017519072741807064,0.7868746512667172,0.004525136372975509,0.7121285736238068,0.0024332799647685146,0.8457531934898341,0.002093789695183811,0.712259002849067,0.0007038329042498775,0.18902931213378907,0.002150039830339291,0.07382020950317383,1
3e-07,0.762625,0.001656898457962934,0.6503596533994116,0.0017519072741807064,0.7868746512667172,0.004525136372975509,0.7121285736238068,0.0024332799647685146,0.8457535692474376,0.0020935036211391727,0.7122611923926808,0.0006949056971371607,0.18305931091308594,0.0017831435453777682,0.07405080795288085,1
1e-06,0.762625,0.001656898457962934,0.6503596533994116,0.0017519072741807064,0.7868746512667172,0.004525136372975509,0.7121285736238068,0.0024332799647685146,0.8457537679783895,0.002093456226922605,0.7122584878543222,0.000693269837210489,0.18618969917297362,0.0015373173511249963,0.07411684989929199,1
