rank,original_feature,gain_importance,gain_importance_percent
1,link_click_tendency,0.316325071125222,31.6325071125222
2,phishing_awareness_score,0.15841746463045214,15.841746463045215
3,password_reuse,0.11193987075934078,11.193987075934078
4,password_manager_usage,0.09671247086526102,9.671247086526103
5,department,0.05942302107327356,5.942302107327356
6,cybersecurity_training,0.05782793883276307,5.782793883276307
7,mfa_enabled,0.03976664725495486,3.976664725495486
8,verification_before_click,0.032415889475255276,3.2415889475255275
9,work_mode,0.021068070260447106,2.1068070260447107
10,vpn_usage,0.017319794889426,1.7319794889426001
11,attachment_open_rate,0.015910625591124994,1.5910625591124994
12,antivirus_installed,0.014997108965156582,1.4997108965156583
13,password_length,0.012150981565340268,1.2150981565340269
14,daily_email_count,0.011036152112600736,1.1036152112600737
15,suspicious_email_frequency,0.010119446638110112,1.0119446638110112
16,reporting_suspicious_email,0.00900800813089318,0.9008008130893179
17,security_quiz_score,0.0084389011151624,0.84389011151624
18,age,0.007122536715215845,0.7122536715215846
